File,Analysed_MS,Mutated,Score_pct,Status
'./IMSI0147TSFP.res',1159,947,81,'MSI'
'./IMSI0146TSFP.res',1279,213,16,'MSS'
'./IMSI0186TSFP.res',1266,1096,86,'MSI'
'./IMSI0170TSFP.res',979,920,93,'MSI'
'./IMSI0172TSFP.res',1065,987,92,'MSI'
'./IMSI0148TSFP.res',1192,1112,93,'MSI'
'./IMSI0175TSFP.res',1068,1010,94,'MSI'
'./IMSI0168TSFP.res',931,876,94,'MSI'
'./IMSI0155TSFP.res',1160,849,73,'MSI'
'./IMSI0154MSFP.res',1143,1067,93,'MSI'
'./IMSI0150TSFP.res',1137,933,82,'MSI'
'./IMSI0164TSFP.res',1230,1129,91,'MSI'
'./IMSI0183TSFP.res',1005,32,3,'MSS'
'./IMSI0156TSFP.res',1244,587,47,'MSI'
'./IMSI0160TSFP.res',1126,1018,90,'MSI'
'./IMSI0157TSFP.res',1066,0,0,'MSS'
'./IMSI0185TSFP.res',1323,979,73,'MSI'
'./IMSI0152TSFP.res',1219,1160,95,'MSI'
'./IMSI0163TSFP.res',1094,1017,92,'MSI'
'./IMSI0151TSFP.res',1166,1120,96,'MSI'
'./IMSI0158TSFP.res',1175,1068,90,'MSI'
'./IMSI0153TSFP.res',1169,1103,94,'MSI'
'./IMSI0149TSFP.res',1040,0,0,'MSS'
'./IMSI0159TSFP.res',1032,29,2,'MSS'
'./IMSI0167TSFP.res',778,663,85,'MSI'
'./IMSI0196MSFP.res',444,405,91,'MSI'
'./IMSI0165TSFP.res',1295,1214,93,'MSI'
'./IMSI0196TSFZ.res',1062,1001,94,'MSI'
'./IMSI0162TSFP.res',1049,941,89,'MSI'
'./IMSI0196TSFP.res',444,420,94,'MSI'
